Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area1,Wilderness_Area2,Wilderness_Area3,Wilderness_Area4,Soil_Type1,Soil_Type2,Soil_Type3,Soil_Type4,Soil_Type6,Soil_Type10,Soil_Type12,Soil_Type13,Soil_Type14,Soil_Type17,Soil_Type22,Soil_Type23,Soil_Type24,Soil_Type29,Soil_Type30,Soil_Type31,Soil_Type32,Soil_Type33,Soil_Type35,Soil_Type38,Soil_Type39,Soil_Type40,Cover_Type,eDist_to_Hydrology,human_presence,Total_Hillshade_mean,Horizontal_Distance_To_Roadways_Log,Hillshade_Noon_Elevation_ratio,Hillshade_9am_Elevation_ratio
2504,0,4,95,5,691,214,232,156,5572,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,95.13148795220224,6263,200.66666666666666,6.539585955617669,0.09261477045908184,0.08542914171656686
2503,38,5,85,10,741,220,228,144,5555,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,85.58621384311844,6296,197.33333333333334,6.60934924316738,0.09105431309904154,0.0878594249201278
2501,71,9,60,8,767,230,223,126,5547,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,60.530983801686226,6314,193.0,6.643789733147672,0.0891286970423661,0.09192645883293366
2880,209,17,216,30,4986,206,253,179,4323,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,218.07338214463496,9309,212.66666666666666,8.514589805546123,0.08781673030197848,0.07150295036445678
2768,114,23,192,82,3339,252,209,71,5972,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,208.7773934122179,9311,177.33333333333334,8.113726085970747,0.07547851209823041,0.09100758396533044
2511,54,8,124,0,638,225,222,130,5569,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,124.0,6207,192.33333333333334,6.459904454377535,0.08837579617834394,0.08957006369426751
2507,22,9,120,14,732,215,221,143,5534,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,120.81390648431164,6266,193.0,6.597145701886651,0.08811802232854865,0.08572567783094098
2492,135,6,0,0,860,229,237,142,5494,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,6354,202.66666666666666,6.7580945044277305,0.0950661853188929,0.09185720016044925
2489,163,10,30,-4,849,230,243,145,5486,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30.265491900843113,6335,206.0,6.745236349484363,0.09759036144578313,0.09236947791164658
2962,148,16,323,23,5916,240,236,120,3395,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,323.81785003300854,9311,198.66666666666666,8.685584842676693,0.07964900438744515,0.08099898751265609
2811,135,1,212,30,3670,220,238,154,5643,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,214.11212016137713,9313,204.0,8.208219383496834,0.08463726884779517,0.07823613086770982
2739,117,24,127,53,3281,253,210,71,6033,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,137.6154061142865,9314,178.0,8.096208271650037,0.07664233576642336,0.09233576642335767
2703,122,30,67,27,3191,254,201,52,6123,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,72.2357252334328,9314,169.0,8.068402958569699,0.07433431952662722,0.09393491124260354
2522,105,7,120,1,595,233,231,130,5569,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,120.00416659433121,6164,198.0,6.39024066706535,0.09155766944114149,0.09235037653587
2519,102,6,124,4,616,230,233,137,5559,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,124.06449935416659,6175,200.0,6.424869023905388,0.09246031746031746,0.09126984126984126
2516,23,6,150,4,658,216,227,147,5541,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,150.05332385522155,6199,196.66666666666666,6.490723534502507,0.09018673023440604,0.08581644815256258
2515,41,9,162,4,680,221,220,133,5532,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,162.04937519163718,6212,191.33333333333334,6.523562306149512,0.08744038155802862,0.08783783783783784
2900,45,19,242,20,5199,221,195,100,4115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,242.82503989498284,9314,172.0,8.556413904569519,0.0672182006204757,0.07618062736987245
2709,125,28,67,23,3224,253,207,61,6094,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,70.83784299369935,9318,173.66666666666666,8.078688229229872,0.07638376383763838,0.09335793357933579
2511,92,7,182,18,722,231,229,131,5494,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,182.8879438344693,6216,197.0,6.583409222158765,0.0911624203821656,0.09195859872611464
2749,98,30,124,53,3316,252,183,36,6005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,134.8517704741024,9321,157.0,8.106816038947052,0.06654545454545455,0.09163636363636364
2686,354,12,0,0,3167,200,219,157,6155,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0.0,9322,192.0,8.060855752934316,0.08150353554149609,0.0744324525493115
2699,347,3,0,0,2096,213,234,159,6853,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,8949,202.0,7.64826303090192,0.08666666666666667,0.07888888888888888
2570,346,2,0,0,331,215,235,158,5745,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,6076,202.66666666666666,5.805134968916488,0.09140412290937379,0.08362504861921431
2533,71,9,150,-3,577,230,223,126,5552,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,150.02999700059985,6129,193.0,6.359573868672378,0.08800315706393054,0.09076558800315707
2703,330,27,30,17,3141,146,197,184,6186,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,34.48187929913333,9327,175.66666666666666,8.052614818815567,0.07285502958579881,0.053994082840236685
2678,128,5,95,23,1660,229,236,141,6546,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,97.74456506629922,8206,202.0,7.415175109613295,0.08809257185516985,0.0854796565882792
2529,68,8,210,-5,666,228,225,130,5484,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,210.05951537600004,6150,194.33333333333334,6.502790045915623,0.08893280632411067,0.09011857707509881
2524,94,7,212,-4,684,232,229,130,5474,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,212.03773249117714,6158,197.0,6.529418838262226,0.09069306930693069,0.09188118811881188
2536,99,6,234,0,659,230,232,136,5475,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,234.0,6134,199.33333333333334,6.492239835020471,0.09144659046117462,0.09065825778478517
2498,66,6,95,7,900,227,227,135,5357,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,95.25754563287887,6257,196.33333333333334,6.803505257608338,0.09083633453381353,0.09083633453381353
2489,100,7,85,13,810,232,231,131,5334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,85.98837130682264,6144,198.0,6.698268054115413,0.0927710843373494,0.09317269076305221
2713,117,30,60,17,3297,254,198,48,6039,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,62.36184731067546,9336,166.66666666666666,8.101071503119543,0.07295504789977893,0.09358879882092852
2739,323,25,85,43,3118,149,205,192,6219,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,95.25754563287887,9337,182.0,8.045267716607803,0.07481751824817519,0.05437956204379562
2696,72,2,30,0,3271,222,234,149,6071,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,30.0,9342,201.66666666666666,8.093156697722637,0.0867630700778643,0.08231368186874305
2510,79,14,192,19,891,237,215,106,5325,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,192.93781381574738,6216,186.0,6.79346613258001,0.08562325766626842,0.09438470728793309
2502,81,7,175,11,912,230,227,129,5316,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,175.34537347760278,6228,195.33333333333334,6.816735880594968,0.09069117059528566,0.09188973232121454
2722,315,24,30,19,3216,148,212,200,6132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35.510561809129406,9348,186.66666666666666,8.076204527239026,0.07785530664708043,0.05435181784796181
2500,74,11,190,9,930,233,219,116,5279,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,190.21303845951255,6209,189.33333333333334,6.836259277277067,0.08756497401039584,0.09316273490603759
2486,68,5,180,-4,870,225,230,139,5262,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,180.04443895883037,6132,198.0,6.769641976852503,0.09248090068355448,0.09047044632086852
2489,11,4,175,13,840,216,232,153,5254,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,175.4821928287882,6094,200.33333333333334,6.734591659972948,0.09317269076305221,0.08674698795180723
2489,42,6,162,13,810,221,227,141,5247,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,162.5207679036744,6057,196.33333333333334,6.698268054115413,0.09116465863453815,0.08875502008032128
2490,75,5,134,17,810,227,230,137,5218,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,135.07405376311175,6028,198.0,6.698268054115413,0.0923323966278603,0.09112806101967082
2952,107,11,42,7,5845,239,226,116,3509,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,42.579337712087536,9354,193.66666666666666,8.673512945671192,0.07653233999322723,0.08093464273620048
2705,90,8,134,22,2023,232,228,129,6615,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,135.79396157414365,8638,196.33333333333334,7.6128310304073565,0.08425720620842572,0.08573540280857354
2507,40,7,153,10,930,221,224,138,5221,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,153.32644912082193,6151,194.33333333333334,6.836259277277067,0.08931419457735247,0.08811802232854865
2500,49,14,150,27,870,225,210,116,5205,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,152.41062955056645,6075,183.66666666666666,6.769641976852503,0.08396641343462614,0.0899640143942423
2493,63,10,127,20,840,229,221,124,5197,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,128.56515857727553,6037,191.33333333333334,6.734591659972948,0.08861267040898156,0.09182036888532479
2509,59,7,134,10,900,226,226,134,5184,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,134.3726162579266,6084,195.33333333333334,6.803505257608338,0.0900398406374502,0.0900398406374502
2919,13,13,90,6,5321,207,214,142,4060,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,90.19977827023745,9381,187.66666666666666,8.579604451537634,0.07328767123287672,0.07089041095890411
2740,54,6,218,42,2287,224,227,138,6686,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,222.00900882621858,8973,196.33333333333334,7.7354333524996886,0.08281649033199562,0.0817219992703393
2640,80,8,180,-2,1092,231,225,127,5866,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,180.01111076819674,6958,194.33333333333334,6.996681488176539,0.08519500189322227,0.08746686861037486
2843,166,12,242,53,4434,230,244,144,4956,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,247.7357463104588,9390,206.0,8.39728289474368,0.08579465541490858,0.0808720112517581
3008,45,14,277,10,6371,223,208,116,3036,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,277.18044664081197,9407,182.33333333333334,8.759668671029939,0.06912595546693254,0.07411100033233632
2893,114,16,108,30,5066,245,223,102,4340,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,112.08925015361643,9406,190.0,8.53050420547591,0.07705597788527989,0.08465791292328956
2850,6,9,0,0,4858,210,223,151,4548,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,9406,194.66666666666666,8.488587934405903,0.0782181690634865,0.07365836548579446
2628,30,10,240,19,960,217,218,136,5645,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,240.75090861718465,6605,190.33333333333334,6.8679744089702925,0.08292126283758083,0.08254089007227082
2864,118,18,201,74,4567,248,221,93,4849,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,214.18916872708573,9416,187.33333333333334,8.426830751335846,0.07713787085514834,0.08656195462478185
2827,160,28,134,65,3948,235,233,108,5474,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,148.93287078412206,9422,192.0,8.28121766128665,0.08239038189533239,0.0830975954738331
2529,326,5,30,14,1062,207,234,166,5047,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,33.1058907144937,6109,202.33333333333334,6.968850378341948,0.09249011857707509,0.08181818181818182
2808,99,7,382,95,3107,233,230,130,6341,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,393.6356183070836,9448,197.66666666666666,8.041734711487537,0.08187967248131008,0.08294766820932717
2840,153,26,134,42,4613,241,231,102,4833,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,140.42791745233566,9446,191.33333333333334,8.4368504387337,0.08130939809926083,0.0848292854628652
2795,79,10,531,96,2980,233,223,121,6497,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,539.6081911906082,9477,192.33333333333334,8.000014093678072,0.07975679542203147,0.08333333333333333
2746,143,16,67,22,2440,241,235,119,6597,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,70.51950084905593,9037,198.33333333333334,7.80016307039296,0.08554787040407717,0.08773207135056425
2847,352,26,150,82,3697,166,187,152,5796,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,170.95028517086482,9493,168.33333333333334,8.21554741194707,0.06566011235955056,0.05828651685393258
2840,14,14,216,88,3552,206,210,140,5944,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,233.23807579381202,9496,185.33333333333334,8.175547596021026,0.07391763463569166,0.0725096796902499
2537,42,7,210,17,1132,222,224,137,4919,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,210.68697159530296,6051,194.33333333333334,7.0326242610280065,0.08825847123719464,0.08747044917257683
2860,358,17,175,98,3705,191,206,151,5800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,200.57168294652163,9505,182.66666666666666,8.217708406845306,0.07200279622509612,0.06675987416987067
2818,332,26,30,17,4526,151,197,181,4978,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,34.48187929913333,9504,176.33333333333334,8.417814747435958,0.06988293721177723,0.0535650940049663
2801,18,7,560,58,3084,215,226,148,6457,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,562.9955594851526,9541,196.33333333333334,8.034306936339489,0.08065667380442541,0.07673090649536046
2791,63,10,418,48,2942,229,221,124,6606,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,420.7469548315234,9548,191.33333333333334,7.987184748233473,0.07915472779369627,0.08202005730659026
2745,306,11,67,24,2416,190,234,184,6428,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,71.16881339463234,8844,202.66666666666666,7.790282380703483,0.0852148579752367,0.06919155134741442
2514,102,6,272,-5,1082,230,233,137,4811,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,272.04595200076034,5893,200.0,6.9874902470009905,0.0926441351888668,0.09145129224652088
2788,13,16,30,8,4126,203,206,137,5396,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,31.04834939252005,9522,182.0,8.325306029752582,0.07386159913947651,0.07278594478307637
2562,354,12,67,9,1057,200,218,156,5031,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,67.60177512462228,6088,191.33333333333334,6.964135612418245,0.0850565743269606,0.07803355442840422
3073,173,12,108,-3,6836,227,246,149,2735,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,108.04165863221463,9571,207.33333333333334,8.830104317913793,0.08002602472348731,0.07384515289525048
2978,71,10,426,85,5742,231,221,121,3792,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,434.3972836010833,9534,191.0,8.655737000864297,0.07418596844578718,0.07754279959718026
2860,31,10,295,98,3644,218,218,135,5904,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,310.85205484281425,9548,190.33333333333334,8.201111644442758,0.07619713386927647,0.07619713386927647
3067,164,11,85,7,6811,230,243,144,2774,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,85.28774824088158,9585,205.66666666666666,8.826441041782578,0.07920469361147327,0.07496740547588006
2804,72,5,543,61,3115,225,231,141,6471,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,546.4155927496945,9586,199.0,8.044305406990638,0.08235294117647059,0.08021390374331551
2562,59,3,0,0,1116,221,233,148,5091,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,6207,200.66666666666666,7.018401799069201,0.09090909090909091,0.08622707764338666
2567,34,9,190,16,1136,219,221,138,4924,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,190.67249408344142,6060,192.66666666666666,7.036148493750536,0.08605919003115264,0.0852803738317757
2998,45,8,351,16,5842,223,222,134,3721,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,351.3644831225831,9563,193.0,8.672999642554437,0.07402467489163055,0.07435811937312438
2684,84,12,150,2,1677,237,220,113,5693,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,150.0133327407934,7370,190.0,7.425357887027151,0.08193668528864059,0.08826815642458101
2676,42,11,150,-5,1634,222,216,128,5655,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,150.08331019803634,7289,188.66666666666666,7.399398083331354,0.08068733657078819,0.08292865147553231
2863,102,15,190,71,4389,244,219,100,5184,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,202.8324431643025,9573,187.66666666666666,8.387084506069217,0.07646648044692737,0.08519553072625698
2574,170,5,170,23,1180,224,242,153,4910,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,171.5488268686207,6090,206.33333333333334,7.074116816197362,0.09398058252427184,0.08699029126213592
2511,211,6,162,30,1071,216,245,166,4660,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,164.75436261295178,5731,209.0,6.977281341630747,0.09753184713375797,0.08598726114649681
3067,32,4,30,-2,6679,219,230,147,2947,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,30.066592756745816,9626,198.66666666666666,8.806873266530692,0.07496740547588006,0.07138200782268579
2909,57,16,134,23,5502,229,203,102,4084,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,135.95955280891445,9586,178.0,8.613048677059759,0.06975945017182131,0.07869415807560137
2863,348,14,309,89,3918,193,216,161,5695,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,321.5618136533006,9613,190.0,8.273591798199632,0.07541899441340782,0.06738826815642458
