Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area1,Wilderness_Area2,Wilderness_Area3,Wilderness_Area4,Soil_Type1,Soil_Type2,Soil_Type3,Soil_Type4,Soil_Type5,Soil_Type6,Soil_Type9,Soil_Type10,Soil_Type11,Soil_Type12,Soil_Type13,Soil_Type14,Soil_Type16,Soil_Type17,Soil_Type18,Soil_Type19,Soil_Type20,Soil_Type21,Soil_Type22,Soil_Type23,Soil_Type24,Soil_Type26,Soil_Type27,Soil_Type28,Soil_Type29,Soil_Type30,Soil_Type31,Soil_Type32,Soil_Type33,Soil_Type34,Soil_Type35,Soil_Type36,Soil_Type37,Soil_Type38,Soil_Type39,Soil_Type40,Cover_Type,eDist_to_Hydrology,human_presence,Total_Hillshade_mean,Elevation_Aspect_ratio,Horizontal_Distance_To_Roadways_Log,Hillshade_Noon_Aspect_ratio,Hillshade_Noon_Elevation_ratio,Hillshade_9am_Elevation_ratio
2612,201,4,180,51,735,218,243,161,6222,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,187.0855419320264,6957,207.33333333333334,12.930693069306932,6.601230118728877,1.202970297029703,0.09299655568312284,0.08342900880214313
2886,151,11,371,26,5253,234,240,136,4051,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,371.9099353338117,9304,203.33333333333334,18.986842105263158,8.566744970245486,1.5789473684210527,0.08313127814340146,0.08105299618981641
2742,134,22,150,69,3215,248,224,92,6091,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,165.10905486980417,9306,188.0,20.31111111111111,8.075893630298857,1.6592592592592592,0.08166241341596792,0.09041195771053591
2609,214,7,150,46,771,213,247,170,6211,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,156.8948692596415,6982,210.0,12.134883720930233,6.648984550024776,1.1488372093023256,0.0946360153256705,0.08160919540229886
2503,157,4,67,4,674,224,240,151,5600,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,67.11929677819934,6274,205.0,15.841772151898734,6.51471269087253,1.518987341772152,0.09584664536741214,0.08945686900958466
2495,51,7,42,2,752,224,225,137,5576,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,42.04759208325728,6328,195.33333333333334,47.98076923076923,6.6240652277998935,4.326923076923077,0.09014423076923077,0.08974358974358974
2610,259,1,120,-1,607,216,239,161,6096,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,120.00416659433121,6703,205.33333333333334,10.038461538461538,6.410174881966167,0.9192307692307692,0.09153581003446955,0.08272692454998085
2517,72,7,85,6,595,228,227,133,5607,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,85.21150157109074,6202,196.0,34.47945205479452,6.39024066706535,3.1095890410958904,0.09015091342335187,0.09054805401111994
2504,0,4,95,5,691,214,232,156,5572,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,95.13148795220224,6263,200.66666666666666,2504.0,6.539585955617669,232.0,0.09261477045908184,0.08542914171656686
2503,38,5,85,10,741,220,228,144,5555,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,85.58621384311844,6296,197.33333333333334,64.17948717948718,6.60934924316738,5.846153846153846,0.09105431309904154,0.0878594249201278
2501,71,9,60,8,767,230,223,126,5547,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,60.530983801686226,6314,193.0,34.736111111111114,6.643789733147672,3.0972222222222223,0.0891286970423661,0.09192645883293366
2880,209,17,216,30,4986,206,253,179,4323,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,218.07338214463496,9309,212.66666666666666,13.714285714285714,8.514589805546123,1.2047619047619047,0.08781673030197848,0.07150295036445678
2768,114,23,192,82,3339,252,209,71,5972,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,208.7773934122179,9311,177.33333333333334,24.069565217391304,8.113726085970747,1.817391304347826,0.07547851209823041,0.09100758396533044
2511,54,8,124,0,638,225,222,130,5569,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,124.0,6207,192.33333333333334,45.654545454545456,6.459904454377535,4.036363636363636,0.08837579617834394,0.08957006369426751
2507,22,9,120,14,732,215,221,143,5534,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,120.81390648431164,6266,193.0,109.0,6.597145701886651,9.608695652173912,0.08811802232854865,0.08572567783094098
2492,135,6,0,0,860,229,237,142,5494,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,6354,202.66666666666666,18.323529411764707,6.7580945044277305,1.7426470588235294,0.0950661853188929,0.09185720016044925
2489,163,10,30,-4,849,230,243,145,5486,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30.265491900843113,6335,206.0,15.176829268292684,6.745236349484363,1.4817073170731707,0.09759036144578313,0.09236947791164658
2962,148,16,323,23,5916,240,236,120,3395,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,323.81785003300854,9311,198.66666666666666,19.879194630872483,8.685584842676693,1.5838926174496644,0.07964900438744515,0.08099898751265609
2811,135,1,212,30,3670,220,238,154,5643,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,214.11212016137713,9313,204.0,20.669117647058822,8.208219383496834,1.75,0.08463726884779517,0.07823613086770982
2739,117,24,127,53,3281,253,210,71,6033,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,137.6154061142865,9314,178.0,23.21186440677966,8.096208271650037,1.7796610169491525,0.07664233576642336,0.09233576642335767
2703,122,30,67,27,3191,254,201,52,6123,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,72.2357252334328,9314,169.0,21.975609756097562,8.068402958569699,1.6341463414634145,0.07433431952662722,0.09393491124260354
2522,105,7,120,1,595,233,231,130,5569,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,120.00416659433121,6164,198.0,23.79245283018868,6.39024066706535,2.1792452830188678,0.09155766944114149,0.09235037653587
2519,102,6,124,4,616,230,233,137,5559,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,124.06449935416659,6175,200.0,24.45631067961165,6.424869023905388,2.262135922330097,0.09246031746031746,0.09126984126984126
2516,23,6,150,4,658,216,227,147,5541,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,150.05332385522155,6199,196.66666666666666,104.83333333333333,6.490723534502507,9.458333333333334,0.09018673023440604,0.08581644815256258
2515,41,9,162,4,680,221,220,133,5532,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,162.04937519163718,6212,191.33333333333334,59.88095238095238,6.523562306149512,5.238095238095238,0.08744038155802862,0.08783783783783784
2900,45,19,242,20,5199,221,195,100,4115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,242.82503989498284,9314,172.0,63.04347826086956,8.556413904569519,4.239130434782608,0.0672182006204757,0.07618062736987245
2709,125,28,67,23,3224,253,207,61,6094,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,70.83784299369935,9318,173.66666666666666,21.5,8.078688229229872,1.6428571428571428,0.07638376383763838,0.09335793357933579
2511,92,7,182,18,722,231,229,131,5494,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,182.8879438344693,6216,197.0,27.0,6.583409222158765,2.4623655913978495,0.0911624203821656,0.09195859872611464
2749,98,30,124,53,3316,252,183,36,6005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,134.8517704741024,9321,157.0,27.767676767676768,8.106816038947052,1.8484848484848484,0.06654545454545455,0.09163636363636364
2686,354,12,0,0,3167,200,219,157,6155,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0.0,9322,192.0,7.566197183098591,8.060855752934316,0.6169014084507042,0.08150353554149609,0.0744324525493115
2699,347,3,0,0,2096,213,234,159,6853,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,8949,202.0,7.755747126436781,7.64826303090192,0.6724137931034483,0.08666666666666667,0.07888888888888888
2570,346,2,0,0,331,215,235,158,5745,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,6076,202.66666666666666,7.406340057636887,5.805134968916488,0.6772334293948127,0.09140412290937379,0.08362504861921431
2533,71,9,150,-3,577,230,223,126,5552,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,150.02999700059985,6129,193.0,35.18055555555556,6.359573868672378,3.0972222222222223,0.08800315706393054,0.09076558800315707
2703,330,27,30,17,3141,146,197,184,6186,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,34.48187929913333,9327,175.66666666666666,8.166163141993957,8.052614818815567,0.595166163141994,0.07285502958579881,0.053994082840236685
2678,128,5,95,23,1660,229,236,141,6546,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,97.74456506629922,8206,202.0,20.75968992248062,7.415175109613295,1.8294573643410852,0.08809257185516985,0.0854796565882792
2529,68,8,210,-5,666,228,225,130,5484,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,210.05951537600004,6150,194.33333333333334,36.65217391304348,6.502790045915623,3.260869565217391,0.08893280632411067,0.09011857707509881
2524,94,7,212,-4,684,232,229,130,5474,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,212.03773249117714,6158,197.0,26.568421052631578,6.529418838262226,2.4105263157894736,0.09069306930693069,0.09188118811881188
2536,99,6,234,0,659,230,232,136,5475,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,234.0,6134,199.33333333333334,25.36,6.492239835020471,2.32,0.09144659046117462,0.09065825778478517
2498,66,6,95,7,900,227,227,135,5357,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,95.25754563287887,6257,196.33333333333334,37.28358208955224,6.803505257608338,3.388059701492537,0.09083633453381353,0.09083633453381353
2489,100,7,85,13,810,232,231,131,5334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,85.98837130682264,6144,198.0,24.643564356435643,6.698268054115413,2.287128712871287,0.0927710843373494,0.09317269076305221
2713,117,30,60,17,3297,254,198,48,6039,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,62.36184731067546,9336,166.66666666666666,22.991525423728813,8.101071503119543,1.6779661016949152,0.07295504789977893,0.09358879882092852
2739,323,25,85,43,3118,149,205,192,6219,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,95.25754563287887,9337,182.0,8.453703703703704,8.045267716607803,0.6327160493827161,0.07481751824817519,0.05437956204379562
2696,72,2,30,0,3271,222,234,149,6071,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,30.0,9342,201.66666666666666,36.93150684931507,8.093156697722637,3.2054794520547945,0.0867630700778643,0.08231368186874305
2510,79,14,192,19,891,237,215,106,5325,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,192.93781381574738,6216,186.0,31.375,6.79346613258001,2.6875,0.08562325766626842,0.09438470728793309
2502,81,7,175,11,912,230,227,129,5316,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,175.34537347760278,6228,195.33333333333334,30.51219512195122,6.816735880594968,2.768292682926829,0.09069117059528566,0.09188973232121454
2722,315,24,30,19,3216,148,212,200,6132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35.510561809129406,9348,186.66666666666666,8.613924050632912,8.076204527239026,0.6708860759493671,0.07785530664708043,0.05435181784796181
2500,74,11,190,9,930,233,219,116,5279,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,190.21303845951255,6209,189.33333333333334,33.333333333333336,6.836259277277067,2.92,0.08756497401039584,0.09316273490603759
2486,68,5,180,-4,870,225,230,139,5262,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,180.04443895883037,6132,198.0,36.028985507246375,6.769641976852503,3.3333333333333335,0.09248090068355448,0.09047044632086852
2489,11,4,175,13,840,216,232,153,5254,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,175.4821928287882,6094,200.33333333333334,207.41666666666666,6.734591659972948,19.333333333333332,0.09317269076305221,0.08674698795180723
2489,42,6,162,13,810,221,227,141,5247,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,162.5207679036744,6057,196.33333333333334,57.883720930232556,6.698268054115413,5.27906976744186,0.09116465863453815,0.08875502008032128
2490,75,5,134,17,810,227,230,137,5218,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,135.07405376311175,6028,198.0,32.76315789473684,6.698268054115413,3.026315789473684,0.0923323966278603,0.09112806101967082
2952,107,11,42,7,5845,239,226,116,3509,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,42.579337712087536,9354,193.66666666666666,27.333333333333332,8.673512945671192,2.0925925925925926,0.07653233999322723,0.08093464273620048
2705,90,8,134,22,2023,232,228,129,6615,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,135.79396157414365,8638,196.33333333333334,29.725274725274726,7.6128310304073565,2.5054945054945055,0.08425720620842572,0.08573540280857354
2507,40,7,153,10,930,221,224,138,5221,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,153.32644912082193,6151,194.33333333333334,61.146341463414636,6.836259277277067,5.463414634146342,0.08931419457735247,0.08811802232854865
2500,49,14,150,27,870,225,210,116,5205,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,152.41062955056645,6075,183.66666666666666,50.0,6.769641976852503,4.2,0.08396641343462614,0.0899640143942423
2493,63,10,127,20,840,229,221,124,5197,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,128.56515857727553,6037,191.33333333333334,38.953125,6.734591659972948,3.453125,0.08861267040898156,0.09182036888532479
2509,59,7,134,10,900,226,226,134,5184,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,134.3726162579266,6084,195.33333333333334,41.81666666666667,6.803505257608338,3.7666666666666666,0.0900398406374502,0.0900398406374502
2919,13,13,90,6,5321,207,214,142,4060,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,90.19977827023745,9381,187.66666666666666,208.5,8.579604451537634,15.285714285714286,0.07328767123287672,0.07089041095890411
2740,54,6,218,42,2287,224,227,138,6686,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,222.00900882621858,8973,196.33333333333334,49.81818181818182,7.7354333524996886,4.127272727272727,0.08281649033199562,0.0817219992703393
2640,80,8,180,-2,1092,231,225,127,5866,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,180.01111076819674,6958,194.33333333333334,32.592592592592595,6.996681488176539,2.7777777777777777,0.08519500189322227,0.08746686861037486
2843,166,12,242,53,4434,230,244,144,4956,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,247.7357463104588,9390,206.0,17.023952095808383,8.39728289474368,1.4610778443113772,0.08579465541490858,0.0808720112517581
3008,45,14,277,10,6371,223,208,116,3036,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,277.18044664081197,9407,182.33333333333334,65.3913043478261,8.759668671029939,4.521739130434782,0.06912595546693254,0.07411100033233632
2893,114,16,108,30,5066,245,223,102,4340,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,112.08925015361643,9406,190.0,25.156521739130437,8.53050420547591,1.9391304347826086,0.07705597788527989,0.08465791292328956
2850,6,9,0,0,4858,210,223,151,4548,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,9406,194.66666666666666,407.14285714285717,8.488587934405903,31.857142857142858,0.0782181690634865,0.07365836548579446
2628,30,10,240,19,960,217,218,136,5645,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,240.75090861718465,6605,190.33333333333334,84.7741935483871,6.8679744089702925,7.032258064516129,0.08292126283758083,0.08254089007227082
2864,118,18,201,74,4567,248,221,93,4849,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,214.18916872708573,9416,187.33333333333334,24.067226890756302,8.426830751335846,1.8571428571428572,0.07713787085514834,0.08656195462478185
2827,160,28,134,65,3948,235,233,108,5474,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,148.93287078412206,9422,192.0,17.559006211180126,8.28121766128665,1.4472049689440993,0.08239038189533239,0.0830975954738331
2529,326,5,30,14,1062,207,234,166,5047,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,33.1058907144937,6109,202.33333333333334,7.73394495412844,6.968850378341948,0.7155963302752294,0.09249011857707509,0.08181818181818182
